column,dtype,non_null,missing,n_unique
dep_name,category,560486,0,3
esi,category,558029,2457,5
age,object,560475,11,91
gender,category,560486,0,2
ethnicity,category,560486,0,4
race,category,560460,26,8
lang,category,560486,0,2
religion,category,560486,0,13
maritalstatus,category,560486,0,10
employstatus,category,560486,0,10
insurance_status,category,560486,0,5
disposition,category,560486,0,2
arrivalmode,category,538602,21884,7
arrivalmonth,category,560486,0,12
arrivalday,category,560486,0,7
arrivalhour_bin,category,560486,0,6
previousdispo,category,560486,0,10
2ndarymalig,float64,560486,0,2
abdomhernia,float64,560486,0,2
abdomnlpain,float64,560486,0,2
abortcompl,float64,560486,0,2
acqfootdef,float64,560486,0,2
acrenlfail,float64,560486,0,2
acutecvd,float64,560486,0,2
acutemi,float64,560486,0,2
acutphanm,float64,560486,0,2
adjustmentdisorders,float64,560486,0,2
adltrespfl,float64,560486,0,2
alcoholrelateddisorders,float64,560486,0,2
allergy,float64,560486,0,2
amniosdx,float64,560486,0,2
analrectal,float64,560486,0,2
anemia,float64,560486,0,2
aneurysm,float64,560486,0,2
anxietydisorders,float64,560486,0,2
appendicitis,float64,560486,0,2
artembolism,float64,560486,0,2
asppneumon,float64,560486,0,2
asthma,float64,560486,0,2
attentiondeficitconductdisruptivebeha,float64,560486,0,2
backproblem,float64,560486,0,2
biliarydx,float64,560486,0,2
birthasphyx,float64,560486,0,2
birthtrauma,float64,560486,0,2
bladdercncr,float64,560486,0,2
blindness,float64,560486,0,2
bnignutneo,float64,560486,0,2
bonectcncr,float64,560486,0,2
bph,float64,560486,0,2
brainnscan,float64,560486,0,2
breastcancr,float64,560486,0,2
breastdx,float64,560486,0,2
brnchlngca,float64,560486,0,2
bronchitis,float64,560486,0,2
burns,float64,560486,0,2
cardiaarrst,float64,560486,0,2
cardiacanom,float64,560486,0,2
carditis,float64,560486,0,2
cataract,float64,560486,0,2
cervixcancr,float64,560486,0,2
chestpain,float64,560486,0,2
chfnonhp,float64,560486,0,2
chrkidneydisease,float64,560486,0,2
coaghemrdx,float64,560486,0,2
coloncancer,float64,560486,0,2
comabrndmg,float64,560486,0,2
complicdevi,float64,560486,0,2
complicproc,float64,560486,0,2
conduction,float64,560486,0,2
contraceptiv,float64,560486,0,2
copd,float64,560486,0,2
coronathero,float64,560486,0,2
crushinjury,float64,560486,0,2
cysticfibro,float64,560486,0,2
deliriumdementiaamnesticothercognitiv,float64,560486,0,2
developmentaldisorders,float64,560486,0,2
diabmelnoc,float64,560486,0,2
diabmelwcm,float64,560486,0,2
disordersusuallydiagnosedininfancych,float64,560486,0,2
diverticulos,float64,560486,0,2
dizziness,float64,560486,0,2
dminpreg,float64,560486,0,2
dysrhythmia,float64,560486,0,2
earlylabor,float64,560486,0,2
ecodesadverseeffectsofmedicalcare,float64,560486,0,2
ecodesadverseeffectsofmedicaldrugs,float64,560486,0,2
ecodescutpierce,float64,560486,0,2
ecodesdrowningsubmersion,float64,560486,0,2
ecodesfall,float64,560486,0,2
ecodesfirearm,float64,560486,0,2
ecodesfireburn,float64,560486,0,2
ecodesmachinery,float64,560486,0,1
ecodesmotorvehicletrafficmvt,float64,560486,0,2
